"filename", "language", "TypeScript", "TypeScript JSX", "Python", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\analytics.ts", "TypeScript", 35, 0, 0, 4, 7, 46
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\anomaly.ts", "TypeScript", 21, 0, 0, 3, 4, 28
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\baselineEngine.ts", "TypeScript", 15, 0, 0, 4, 3, 22
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\contextualBaseline.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\dispatch.ts", "TypeScript", 25, 0, 0, 4, 6, 35
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\escalationPipeline.ts", "TypeScript", 13, 0, 0, 4, 4, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\export.ts", "TypeScript", 16, 0, 0, 3, 5, 24
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\failsafe.ts", "TypeScript", 14, 0, 0, 4, 4, 22
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\healthHistory.ts", "TypeScript", 93, 0, 0, 4, 12, 109
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\healthProfile.ts", "TypeScript", 39, 0, 0, 4, 8, 51
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\intelligencePipeline.ts", "TypeScript", 23, 0, 0, 4, 5, 32
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\longTermHealth.ts", "TypeScript", 22, 0, 0, 4, 4, 30
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\multiDevice.ts", "TypeScript", 16, 0, 0, 3, 4, 23
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\normalRange.ts", "TypeScript", -4, 0, 0, 0, -1, -5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\personalization.ts", "TypeScript", 13, 0, 0, 3, 3, 19
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\pipeline.ts", "TypeScript", -2, 0, 0, 0, 0, -2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\predictive.ts", "TypeScript", 19, 0, 0, 4, 5, 28
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\recovery.ts", "TypeScript", 22, 0, 0, 3, 4, 29
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\riskScore.ts", "TypeScript", 22, 0, 0, 4, 5, 31
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\secureSharing.ts", "TypeScript", 14, 0, 0, 3, 3, 20
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\semanticRetrieval.ts", "TypeScript", 22, 0, 0, 4, 5, 31
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\sqi.ts", "TypeScript", -15, 0, 0, 0, -1, -16
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\trend.ts", "TypeScript", 18, 0, 0, 4, 4, 26
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\trends.ts", "TypeScript", 19, 0, 0, 3, 5, 27
"Total", "-", 6529, 47, 345, 879, 1416, 9216
